County,Affiliated Party Color,Unemployment Rate,Population,"Violent Crime per 1,000 inhabitants","Property Crime per 1,000 inhabitants"
Arapahoe,Blue,3.1,651797,0.537,2.861
Archuleta,Purple,3.3,13730,3.569,6.846
Baca,Red,1.8,3584,0.837,0.558
Bent,Purple,3.1,5808,5.51,32.197
Boulder,Blue,2.7,324636,0.24,2.07
Chaffee,Purple,2.6,20041,0.549,2.994
Cheyenne,Red,1.8,1859,0.0,0.538
Clear Creek,Blue,2.9,9604,2.499,5.831
Conejos,Blue,4.1,8181,0.611,3.789
Crowley,Red,4.2,5957,1.847,7.051
Custer,Red,3.6,4934,3.851,13.985
Delta,Red,3.9,30884,1.101,6.249
Dolores,Red,2.8,2060,0.485,11.65
Douglas,Purple,2.7,342989,1.067,7.257
El Paso,Purple,3.8,712089,0.826,3.325
Elbert,Red,2.7,26303,0.722,0.114
Fremont,Red,5.0,47959,0.917,5.526
Garfield,Purple,3.1,59701,1.055,3.501
Gilpin,Blue,2.4,6112,5.89,14.071
Grand,Purple,2.6,15511,0.58,3.03
Gunnison,Blue,2.4,17167,0.466,1.456
Hinsdale,Purple,2.7,808,1.238,4.95
Huerfano,Blue,6.4,6887,2.904,17.279
Jackson,Red,2.6,1395,0.717,3.584
Kit Carson,Red,2.0,7159,0.978,5.727
La Plata,Blue,2.9,56299,1.35,3.588
Lake,Blue,2.6,7846,1.402,4.588
Larimer,Blue,2.7,350660,0.436,2.575
Logan,Red,2.7,22268,0.584,4.087
Mesa,Red,3.9,152951,0.955,6.649
Mineral,Purple,2.5,772,1.295,0.0
Moffat,Red,3.6,13183,0.303,2.124
Montezuma,Purple,4.6,26152,1.109,4.971
Montrose,Red,3.6,42206,0.569,5.094
Morgan,Red,2.8,28769,1.46,2.885
Otero,Purple,4.9,18338,0.218,5.671
Pitkin,Blue,3.7,17976,0.223,2.17
Prowers,Red,3.2,12079,0.414,0.58
Pueblo,Blue,4.7,167422,0.311,6.666
Routt,Blue,2.6,25507,0.51,1.764
San Juan,Blue,2.9,764,1.309,3.927
San Miguel,Blue,3.3,8180,0.367,0.367
Sedgwick,Red,2.5,2276,0.0,2.197
Teller,Red,3.6,25113,1.234,4.141
Washington,Red,2.4,4888,0.409,11.457
Weld,Purple,2.9,314815,0.492,2.274
