State,State Abbrev.,Affiliated Party Color,Population,"Violent Crime per 100,000 inhabitants","Property Crime per 100,000 inhabitants","Hate Crime per 100,000 inhabitants",Unemployment (UE) Rate,UE Rank among States
Alabama,AL,Red,4887871.0,519.6,2817.2,0.0,3.9,24
Alaska,AK,Red,737438.0,885.0,3300.5,0.954,6.5,1
Arizona,AZ,Red,7171646.0,474.9,2676.8,2.326,4.7,6
Arkansas,AR,Red,3013825.0,543.6,2913.0,0.452,3.6,29
California,CA,Blue,39557045.0,447.4,2380.4,2.69,4.3,12
Colorado,CO,Purple,5695564.0,397.2,2671.6,2.195,3.2,38
Connecticut,CT,Blue,3572665.0,207.4,1681.0,2.571,4.1,18
Delaware,DE,Blue,967171.0,423.6,2324.4,1.662,3.8,26
Florida,FL,Purple,21299325.0,384.9,2281.8,0.674,3.6,29
Georgia,GA,Red,10519475.0,326.6,2573.7,0.412,3.9,24
Hawaii,HI,Blue,1420491.0,248.6,2870.3,4.481,2.5,50
Idaho,ID,Red,1754208.0,227.1,1461.4,1.323,2.9,45
Illinois,IL,Blue,12741080.0,404.1,1932.8,0.896,4.3,12
Indiana,IN,Red,6691878.0,382.3,2179.3,3.562,3.5,32
Iowa,IA,Purple,3156145.0,250.1,1691.5,0.329,2.6,48
Kansas,KS,Red,2911505.0,439.0,2633.9,2.694,3.3,35
Kentucky,KY,Red,4468402.0,211.9,1962.6,5.283,4.3,12
Louisiana,LA,Red,4659978.0,537.5,3276.0,1.275,4.9,4
Maine,ME,Blue,1338404.0,112.1,1357.8,1.494,3.2,38
Maryland,MD,Blue,6042718.0,468.7,2033.3,0.811,3.9,24
Massachusetts,MA,Blue,6902149.0,338.1,1263.3,5.23,3.4,34
Michigan,MI,Purple,9995915.0,449.4,1653.5,4.333,4.1,18
Minnesota,MN,Purple,5611179.0,220.4,1993.8,2.297,2.9,45
Mississippi,MS,Red,2986530.0,234.4,2403.0,0.694,4.8,5
Missouri,MO,Red,6126452.0,502.1,2647.1,1.081,3.2,38
Montana,MT,Red,1062305.0,374.1,2496.3,0.659,3.6,29
Nebraska,NE,Red,1929268.0,284.8,2079.9,1.909,2.9,45
Nevada,NV,Purple,3034392.0,541.1,2438.2,1.088,4.4,9
New Hampshire,NH,Purple,1356458.0,173.2,1248.5,0.987,2.6,48
New Jersey,NJ,Blue,8908520.0,208.1,1404.9,6.297,4.1,18
New Mexico,NM,Blue,2095428.0,856.6,3419.7,1.462,4.9,4
New York,NY,Blue,19542209.0,350.5,1440.5,2.703,4.1,18
North Carolina,NC,Purple,10383620.0,377.6,2494.1,1.355,4,20
North Dakota,ND,Red,760077.0,280.6,2040.2,1.315,2.6,48
Ohio,OH,Purple,11689442.0,279.9,2177.1,3.581,4.5,8
Oklahoma,OK,Red,3943079.0,466.1,2875.0,0.552,3.4,34
Oregon,OR,Blue,4190713.0,285.5,2894.0,2.94,4.1,18
Pennsylvania,PA,Purple,12807060.0,306.0,1489.9,0.527,4.2,13
Rhode Island,RI,Blue,1057315.0,219.1,1660.9,1.231,4,20
South Carolina,SC,Red,5084127.0,488.3,3017.6,2.238,3.5,32
South Dakota,SD,Red,882235.0,404.7,1728.7,2.48,3.1,39
Tennessee,TN,Red,6770010.0,623.7,2825.4,2.523,3.5,32
Texas,TX,Red,28701845.0,410.9,2367.2,1.634,3.8,26
Utah,UT,Red,3161105.0,233.1,2377.5,1.075,3,42
Vermont,VT,Blue,626299.0,172.0,1283.1,7.132,2.5,50
Virginia,VA,Purple,8517685.0,200.0,1665.8,1.68,3,42
Washington,WA,Blue,7535591.0,311.5,2946.2,6.765,4.5,8
West Virginia,WV,Red,1805832.0,289.9,1485.6,2.732,5.2,2
Wisconsin,WI,Purple,5813568.0,295.4,1559.9,0.902,3,42
Wyoming,WY,Red,577737.0,212.2,1785.1,0.0,3.9,24
