Table 12,,,,
"Agency Hate Crime Reporting by State and Federal1, 2018",,,,
Participating state/Federal,"Number of
participating
agencies","Population
covered","Agencies
submitting
incident
reports","Total
number of
incidents
reported"
Total,"16,039","306,874,326","2,026","7,120"
Alabama,98,"1,865,517",0,0
Alaska,32,"733,747",4,7
Arizona,102,"7,135,285",19,166
Arkansas,286,"2,874,960",9,13
California,736,"39,520,441",220,"1,063"
Colorado,217,"5,512,017",37,121
Connecticut,97,"3,150,064",34,81
Delaware,63,"962,453",10,16
District of Columbia,2,"702,455",2,213
Florida,651,"20,922,562",54,141
Georgia,487,"8,497,512",9,35
Hawaii,1,"982,019",1,44
Idaho,106,"1,738,946",13,23
Illinois,738,"11,942,645",31,107
Indiana,161,"3,004,204",24,107
Iowa,228,"3,042,074",9,10
Kansas,367,"2,561,072",38,69
Kentucky,414,"4,448,098",97,235
Louisiana,147,"3,528,527",18,45
Maine,133,"1,338,404",7,20
Maryland,155,"6,039,822",20,49
Massachusetts,359,"6,730,168",79,352
Michigan,633,"9,948,030",190,431
Minnesota,385,"5,484,503",38,126
Mississippi,35,"720,646",4,5
Missouri,604,"5,919,676",22,64
Montana,108,"1,062,359",5,7
Nebraska,116,"1,781,091",14,34
Nevada,56,"3,034,392",7,33
New Hampshire,184,"1,317,257",11,13
New Jersey,577,"8,908,520",180,561
New Mexico,110,"1,915,743",3,28
New York,572,"19,348,748",59,523
North Carolina,531,"10,330,057",42,140
North Dakota,109,"760,650",8,10
Ohio,547,"9,774,082",116,350
Oklahoma,417,"3,621,189",17,20
Oregon,222,"4,012,987",33,118
Pennsylvania,"1,480","12,712,213",15,67
Rhode Island,48,"1,056,281",9,13
South Carolina,439,"4,960,159",52,111
South Dakota,130,"806,540",13,20
Tennessee,466,"6,737,273",67,170
Texas,"1,028","27,845,758",127,455
Utah,126,"3,068,388",18,33
Vermont,89,"630,980",27,45
Virginia,415,"8,510,090",53,143
Washington,248,"7,479,358",73,506
West Virginia,251,"1,573,786",21,43
Wisconsin,436,"5,767,760",27,52
Wyoming,57,"552,818",0,0
Federal,,,,
"Federal Bureau of Investigation, Field Offices2",40,0,40,82
1 Federal includes only the Federal Bureau of Investigation field offices.,,,,
2 Population estimates are not attributed to the Federal Bureau of Investigation field offices.,,,,
